Date,Time,Vrms,Irms,Temp
15/09/2025,12:12:04 p. m.,227.38,35.33,0.7
15/09/2025,12:11:42 p. m.,224.38,34.57,0.7
15/09/2025,12:11:23 p. m.,224.59,34.12,0.7
15/09/2025,12:11:04 p. m.,225.88,35.13,0.7
15/09/2025,12:10:45 p. m.,224.16,35.2,0.7
15/09/2025,12:10:25 p. m.,225.07,33.06,0.7
15/09/2025,12:10:06 p. m.,225.57,34.48,0.7
15/09/2025,12:09:46 p. m.,225.91,35.23,0.7
15/09/2025,12:09:27 p. m.,225.72,33.78,0.7
15/09/2025,12:09:06 p. m.,223.87,33.76,0.7
15/09/2025,12:08:43 p. m.,225.97,34.85,0.7
15/09/2025,12:08:24 p. m.,224.39,33.87,0.7
15/09/2025,12:08:04 p. m.,224.76,29.78,0.7
15/09/2025,12:07:40 p. m.,222.15,28.53,0.7
15/09/2025,12:07:21 p. m.,225.19,30.15,0.7
15/09/2025,12:07:01 p. m.,225.33,107.25,0.65
15/09/2025,12:06:40 p. m.,223.96,105.46,0.65
15/09/2025,12:06:14 p. m.,224.73,106.83,0.65
15/09/2025,12:05:54 p. m.,225.68,107.74,0.65
15/09/2025,12:05:35 p. m.,224.33,106.15,0.65
15/09/2025,12:05:10 p. m.,224.93,106.03,0.65
15/09/2025,12:04:48 p. m.,224.93,107.16,0.65
15/09/2025,12:04:00 p. m.,225.69,106.83,0.65
15/09/2025,12:03:07 p. m.,224.36,107.71,0.65
15/09/2025,12:02:41 p. m.,222.67,105.74,0.65
15/09/2025,12:01:59 p. m.,223.77,106.31,0.65
15/09/2025,12:01:39 p. m.,224.98,106.94,0.65
15/09/2025,12:01:09 p. m.,224.22,106.22,0.65
15/09/2025,12:00:50 p. m.,225.25,107.69,0.65
15/09/2025,12:00:31 p. m.,225.04,108.13,0.65
15/09/2025,12:00:13 p. m.,224.95,106.51,0.65
15/09/2025,11:59:55 a. m.,223.65,106.91,0.65
15/09/2025,11:59:37 a. m.,225.41,108.26,0.65
15/09/2025,11:59:16 a. m.,225.27,107.99,0.65
15/09/2025,11:58:56 a. m.,226.57,107.32,0.65
15/09/2025,11:58:36 a. m.,225.09,109.21,0.65
15/09/2025,11:58:17 a. m.,224.56,108.12,0.65
15/09/2025,11:57:59 a. m.,225.42,107.45,0.65
15/09/2025,11:57:38 a. m.,224.35,108.21,0.65
15/09/2025,11:57:20 a. m.,225.86,108.65,0.64
15/09/2025,11:57:02 a. m.,224.94,108.02,0.65
15/09/2025,11:56:41 a. m.,223.85,107.16,0.65
15/09/2025,11:56:22 a. m.,224.62,108.87,0.65
15/09/2025,11:56:03 a. m.,226.2,108.12,0.64
15/09/2025,11:55:41 a. m.,225,109.35,0.65
15/09/2025,11:55:22 a. m.,226.31,109.1,0.64
15/09/2025,11:55:03 a. m.,223.3,108.03,0.65
15/09/2025,11:54:44 a. m.,226.07,108.18,0.65
15/09/2025,11:54:20 a. m.,223.56,109.41,0.65
15/09/2025,11:53:58 a. m.,224.83,109.63,0.64
15/09/2025,11:53:39 a. m.,223.61,107.84,0.65
15/09/2025,11:53:19 a. m.,224.05,108.39,0.65
15/09/2025,11:52:59 a. m.,225.11,109.8,0.65
15/09/2025,11:52:40 a. m.,223.78,108.61,0.64
15/09/2025,11:52:22 a. m.,223.84,108.85,0.64
15/09/2025,11:51:59 a. m.,224.17,108.62,0.64
15/09/2025,11:51:40 a. m.,223.34,108.83,0.65
15/09/2025,11:51:22 a. m.,225.71,109.38,0.65
15/09/2025,11:51:00 a. m.,222.24,109.43,0.64
15/09/2025,11:50:40 a. m.,223.93,109.74,0.64
15/09/2025,11:50:21 a. m.,222.36,109.32,0.64
15/09/2025,11:50:02 a. m.,221.72,110.01,0.64
15/09/2025,11:49:41 a. m.,222.52,110.05,0.64
15/09/2025,11:49:19 a. m.,224.75,110.34,0.64
15/09/2025,11:48:58 a. m.,225.47,110.72,0.64
15/09/2025,11:48:39 a. m.,224.31,110.68,0.64
15/09/2025,11:48:20 a. m.,224.03,110.2,0.64
15/09/2025,11:48:01 a. m.,224.87,110.56,0.64
15/09/2025,11:47:42 a. m.,223.22,111.53,0.64
15/09/2025,11:47:22 a. m.,222.84,110.76,0.64
15/09/2025,11:46:58 a. m.,223.55,110.09,0.65
15/09/2025,11:46:34 a. m.,226.62,112.29,0.64
15/09/2025,11:46:14 a. m.,225.19,109.24,0.65
15/09/2025,11:45:55 a. m.,223.75,30.75,0.7
15/09/2025,11:45:35 a. m.,224.67,29.14,0.7
15/09/2025,11:45:05 a. m.,223.88,29.03,0.7
15/09/2025,11:44:43 a. m.,224.64,30.22,0.7
15/09/2025,11:44:22 a. m.,223.27,29.62,0.7
15/09/2025,11:44:01 a. m.,225.61,30.5,0.7
15/09/2025,11:43:39 a. m.,224.14,29.55,0.7
15/09/2025,11:43:20 a. m.,223.68,29.48,0.7
15/09/2025,11:43:00 a. m.,224.76,30.04,0.7
15/09/2025,11:42:40 a. m.,227.13,29.98,0.7
15/09/2025,11:42:20 a. m.,224.26,29.83,0.7
15/09/2025,11:42:01 a. m.,225.91,30.31,0.7
15/09/2025,11:41:35 a. m.,225.88,29.47,0.7
15/09/2025,11:41:17 a. m.,225.46,30.79,0.7
15/09/2025,11:40:57 a. m.,224.46,29.84,0.7
15/09/2025,11:40:35 a. m.,223.44,29.42,0.7
15/09/2025,11:40:16 a. m.,224.13,30.09,0.7
15/09/2025,11:39:57 a. m.,223.23,28.3,0.7
15/09/2025,11:39:36 a. m.,224.11,30.2,0.7
15/09/2025,11:39:17 a. m.,224.36,29.59,0.7
15/09/2025,11:38:58 a. m.,223.76,30.49,0.7
15/09/2025,11:38:38 a. m.,223.73,29.27,0.7
15/09/2025,11:38:20 a. m.,225.11,30.68,0.7
15/09/2025,11:38:01 a. m.,226.02,29.2,0.7
15/09/2025,11:37:42 a. m.,224.55,30.88,0.7
15/09/2025,11:37:20 a. m.,224.83,30.5,0.7
15/09/2025,11:37:01 a. m.,222.88,29.92,0.7
15/09/2025,11:36:41 a. m.,225.92,30.85,0.7
15/09/2025,11:36:20 a. m.,223.48,29.61,0.7
15/09/2025,11:35:43 a. m.,224.34,30.17,0.7
15/09/2025,11:35:24 a. m.,224.87,30.49,0.7
15/09/2025,11:35:04 a. m.,224.72,30.14,0.7
15/09/2025,11:34:44 a. m.,224.98,29.48,0.7
15/09/2025,11:34:23 a. m.,225.04,30.32,0.7
15/09/2025,11:34:04 a. m.,223.98,29.3,0.7
15/09/2025,11:33:43 a. m.,225.48,30.41,0.7
15/09/2025,11:33:23 a. m.,225.16,29.25,0.7
15/09/2025,11:32:52 a. m.,224.24,30.28,0.7
15/09/2025,11:32:25 a. m.,226.46,29.04,0.7
15/09/2025,11:32:06 a. m.,224.79,29.72,0.7
15/09/2025,11:31:43 a. m.,223.26,30.62,0.7
15/09/2025,11:30:51 a. m.,226.32,30.73,0.7
15/09/2025,11:30:21 a. m.,225.37,29.88,0.7
15/09/2025,11:29:42 a. m.,224.1,29.29,0.7
15/09/2025,11:29:11 a. m.,226.99,30.28,0.7
15/09/2025,11:28:50 a. m.,225.35,30.88,0.7
15/09/2025,11:28:21 a. m.,223.72,29.69,0.7
15/09/2025,11:27:46 a. m.,224.73,29.64,0.7
15/09/2025,11:27:09 a. m.,223.9,29.38,0.7
15/09/2025,11:26:49 a. m.,226.39,30.11,0.7
15/09/2025,11:26:24 a. m.,225.19,29.68,0.7
15/09/2025,11:26:05 a. m.,227.09,30.51,0.7
15/09/2025,11:25:43 a. m.,225.16,29.79,0.7
15/09/2025,11:25:22 a. m.,225.45,29.95,0.7
15/09/2025,11:25:01 a. m.,224.17,29.08,0.7
15/09/2025,11:24:42 a. m.,225.24,30.19,0.7
15/09/2025,11:24:19 a. m.,225.22,29.54,0.7
15/09/2025,11:24:00 a. m.,225.66,30.53,0.7
15/09/2025,11:23:40 a. m.,227.06,29.74,0.7
15/09/2025,11:23:21 a. m.,225.37,29.67,0.7
15/09/2025,11:23:00 a. m.,225.26,29.3,0.7
